HUNDRED,STREET,FROM,TO,CITY COUNCIL DISTRICT,POTHOLES,DITCHES,EMERGENCY UTILITY WORK,ROADWAY RESURFACING RATING,PAVING PROGRAM,,,
4300,CHESTNUT ST,S 43RD ST,S 44TH ST,3,1,0,0,100,PENNDOT,,,
4400,CHESTNUT ST,S 44TH ST,S 45TH ST,3,7,5,0,100,PENNDOT,,,
4500,CHESTNUT ST,S 45TH ST,S 46TH ST,3,0,5,0,100,PENNDOT,,,
4600,CHESTNUT ST,FARRAGUT ST,S 47TH ST,3,0,0,0,100,PENNDOT,,,
4600,CHESTNUT ST,S 46TH ST,FARRAGUT ST,3,1,1,0,100,PENNDOT,,,
4700,CHESTNUT ST,S 47TH ST,S 48TH ST,3,0,0,0,100,PENNDOT,,,
4800,CHESTNUT ST,S FALLON ST,S 49TH ST,3,1,0,0,100,PENNDOT,,,
4800,CHESTNUT ST,S 48TH ST,S FALLON ST,3,0,0,0,100,PENNDOT,,,
4900,CHESTNUT ST,S 49TH ST,S 50TH ST,3,1,4,3,100,PENNDOT,,,
5000,CHESTNUT ST,S 50TH ST,S 51ST ST,3,6,2,0,100,PENNDOT,,,
5100,CHESTNUT ST,S 51ST ST,S 52ND ST,3,0,2,14,100,PENNDOT,,,
5200,CHESTNUT ST,S 52ND ST,S 53RD ST,3,0,3,7,100,PENNDOT,,,
5300,CHESTNUT ST,S 53RD ST,S PEACH ST,3,1,0,0,100,PENNDOT,,,
5300,CHESTNUT ST,S PEACH ST,S RUBY ST,3,1,3,0,100,PENNDOT,,,
5300,CHESTNUT ST,S RUBY ST,S 54TH ST,3,0,0,2,100,PENNDOT,,,
5400,CHESTNUT ST,S YEWDALL ST,S 55TH ST,3,1,8,3,100,PENNDOT,,,
5400,CHESTNUT ST,S 54TH ST,S YEWDALL ST,3,0,0,0,100,PENNDOT,,,
5500,CHESTNUT ST,S 55TH ST,S 56TH ST,3,1,1,2,100,PENNDOT,,,
5600,CHESTNUT ST,S 56TH ST,S 57TH ST,3,3,5,0,100,PENNDOT,,,
5700,CHESTNUT ST,S ALDEN ST,S CECIL ST,3,0,0,0,100,PENNDOT,,,
5700,CHESTNUT ST,S CECIL ST,S 58TH ST,3,0,0,0,100,PENNDOT,,,
5700,CHESTNUT ST,S 57TH ST,S ALDEN ST,3,0,0,0,100,PENNDOT,,,
5800,CHESTNUT ST,S 58TH ST,S 59TH ST,3,2,2,0,100,PENNDOT,,,
5900,CHESTNUT ST,S REDFIELD ST,S SALFORD ST,3,1,1,0,100,PENNDOT,,,
5900,CHESTNUT ST,S SALFORD ST,S 60TH ST,3,0,5,0,100,PENNDOT,,,
5900,CHESTNUT ST,S 59TH ST,S REDFIELD ST,3,2,1,0,100,PENNDOT,,,
6000,CHESTNUT ST,S 60TH ST,S MILLICK ST,3,2,0,1,100,PENNDOT,,,
6000,CHESTNUT ST,S MILLICK ST,S 61ST ST,3,0,0,0,100,PENNDOT,,,
6100,CHESTNUT ST,S 61ST ST,S 62ND ST,3,3,2,3,100,PENNDOT,,,
6200,CHESTNUT ST,S 62ND ST,COBBS CREEK PKWY,3,1,0,2,100,PENNDOT,,,
6300,CHURCH RD,LANCASTER AVE,N 64TH ST,4,1,1,0,57,CITY LOCAL,,,
6400,CHURCH RD,N 64TH ST,HOLLINGSWORTH RD,4,0,0,0,57,CITY LOCAL,,,
1600,CHURCH ST,PAUL ST,ORCHARD ST,7,0,0,0,58,CITY LOCAL,,,
1600,CHURCH ST,FRANKFORD AVE,PAUL ST,7,2,2,0,44,CITY LOCAL,,,
