HUNDRED,ON,FROM,TO,COUNCIL,CONDI- TION_IN- DEX,POTHOLES,DITCHES,PAVING PROGRAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1300,BELFIELD AVE,W WINGOHOCKING ST,W COURTLAND ST,8,93,1,0,FAM Paving & Ramps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5300,BELFIELD AVE,E PENN ST,CHURCH LN,8,37,10,0,FAM Paving & Ramps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,BELFIELD AVE,N 20TH ST,E WISTER ST,8,77,2,0,FAM Paving & Ramps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900,BELFIELD AVE,LINDLEY AVE,N 20TH ST,8,73,3,0,FAM Paving & Ramps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5200,BELFIELD AVE,ARMSTRONG ST,E PENN ST,8,80,8,0,FAM Paving & Ramps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5000,BELFIELD AVE,E WISTER ST,ARMSTRONG ST,8,87,16,0,FAM Paving & Ramps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1800,BELFIELD AVE,W ASHDALE ST,LINDLEY AVE,8,94,0,0,FAM Paving & Ramps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1800,BELFIELD AVE,N GRATZ ST,W ASHDALE ST,8,96,0,0,FAM Paving & Ramps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1800,BELFIELD AVE,OGONTZ AVE,N GRATZ ST,8,96,2,0,FAM Paving & Ramps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5300,BELFIELD AVE,CHURCH LN,CHURCH LN,8,78,1,0,FAM Paving & Ramps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500,BELLFORD ST,ELMWOOD AVE,BUIST AVE,2,100,1,4,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2400,BELLFORD ST,DEAD END WEST,ELMWOOD AVE,2,100,0,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6500,BERDAN ST,W SHARPNACK ST,W SHARPNACK ST,8,100,0,3,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6500,BERDAN ST,W WEAVER ST,W SHARPNACK ST,8,100,1,2,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6500,BERDAN ST,W SHARPNACK ST,GOOD ST,8,100,0,6,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5500,BINGHAM ST,DEAD END SOUTH,ALLENGROVE ST,9,100,1,9,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5600,BINGHAM ST,ALLENGROVE ST,E GODFREY AVE,9,100,1,1,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5100,BINGHAM ST,E ROOSEVELT BLVD,E ASHDALE ST,7,100,0,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5200,BINGHAM ST,E ASHDALE ST,E TABOR RD,9,100,2,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
